name,manufacturer,product,category,weight,unit,price,consumable,product_url,notes
Hiking Socks - Summer,Darn Tough,Micro Crew Lightweight Hiking Sock,Footware,60,g,32,,https://darntough.com/collections/mens-hiking-socks/products/mens-merino-wool-sunset-ridge-micro-crew-lightweight-hiking-socks,
Sunglasses - folding case,Foldies,Vegan case,Miscellaneous,40,g,0,,,
Camino del Norte guidebook ,Wise pilgrim guides,Guidebook,Miscellaneous,193,g,29,,https://shop.wisepilgrim.com/products/the-camino-del-norte-a-wise-pilgrim-guide-to-the-northern-camino-frcamino-del-norte-irun-to-santiago-2024-edition,
Water bottle 700cc,MCPAL,,Water System,137,g,0,,,
USB C Charger 2 ports,Anker,523 Nano III,Electronics,91,g,0,,https://www.amazon.de/-/en/gp/product/B0BDKSW8GC/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&psc=1,
Blanket,Get Out Gear,Down Puffy Blanket,Sleep System,460.7,g,77.2,,https://www.amazon.de/dp/B08C7FLHJL?psc=1&ref=ppx_yo2ov_dt_b_product_details,
Sleepling liner Silk,Sea to Summit,silk+cotton liner - Traveller,Sleep System,194,g,88.45,,https://www.amazon.de/-/en/gp/product/B001PR0728/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,
Power bank 10K,Anker,Nano Power Bank,Electronics,218,g,39.71,,https://www.amazon.de/-/en/gp/product/B0C9CJKCH3/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&psc=1,
Thermal undershirt,Icebreaker,Merino 200 Oasis Long Sleeve,Clothing,220,g,100,,https://www.icebreaker.com/en-de/mens-baselayers/merino-200-oasis-long-sleeve-crewe-thermal-top/104365.html?dwvar_104365_color=810,
Towel,Cocoon,Eco Travel Towel,Toiletries,155,g,20,,https://www.cocoon.at/us/products/eco-travel-towel,
Toiletries bag,Deuter,Wash bag Tour II,Toiletries,45,g,22,,https://www.deuter.com/de-de/shop/zubehor/p1028003-kulturbeutel-wash-bag-tour-ii,
Pocket bag (side bag),Fjällräven,High Coast Pocket,Pack,80,g,50,,,
Lightning Cable,Apple,Lightning to USB-C Cable,Electronics,19,g,25,,,
Soft Water Flask 500cc,Decathlon,kalenji Soft Flask 500,Water System,35,g,12,,https://www.decathlon.de/p/trinkflasche-weich-trail-500-ml-blau/_/R-p-327568,
Cutlery Set,Sea to Summit,Alpha Cutlery Set,Cookware,42,g,27,,,
Bite away,Beurer,Insect bite healer,Toiletries,49,g,24,,https://www.beurer.com/web/us/products/medical/insect-bite-healer/br-60.php,
Toiletries bag,ProCase,Toiletry Bag,Toiletries,96,g,0,,https://www.amazon.de/gp/product/B09JP5Q81H/ref=ppx_yo_dt_b_asin_title_o04_s02?ie=UTF8&th=1,
